relay_url,count
wss://nostr.blockpower.capital,91959
wss://nostr.portemonero.com,91796
wss://za.purplerelay.com,91468
wss://cache2.primal.net/v1,91400
wss://relay.nostromo.social,90898
wss://relay.nos.social,90759
wss://nostr.l00p.org,90550
wss://eu.purplerelay.com,90455
wss://nostr.stakey.net,90037
wss://relay.deezy.io,89962
wss://freerelay.xyz,89787
wss://relay.lawallet.ar,89142
wss://relay.nostrich.de,88470
wss://nostr.bch.ninja,88454
wss://cobrafuma.com/relay,88415
wss://relay.layer.systems,88398
wss://nostr-usa.ka1gbeoa21bnm.us-west-2.cs.amazonlightsail.com,88379
wss://relay.nostrid.com,88150
wss://nostr-03.dorafactory.org,87971
wss://nostr.sandwich.farm,87964
wss://de.purplerelay.com,87532
wss://nostrrelay.win,87452
wss://paid.nostr.lc,87146
wss://yestr.me,87118
wss://nostr.cizmar.net,86826
wss://filter.nostr.wine/npub1clk6vc9xhjp8q5cws262wuf2eh4zuvwupft03hy4ttqqnm7e0jrq3upup9,86305
wss://nostr.shroomslab.net,86286
wss://relay.mostro.network,86147
wss://deschooling.us,84837
wss://uk.purplerelay.com,84586
wss://public.relaying.io,84540
wss://relay.westernbtc.com,84402
wss://nostrja-kari.heguro.com,84049
wss://relay.magiccity.live,83897
wss://nostr.hubmaker.io,83804
wss://filter.nostr.wine/npub1wtuh24gpuxjyvnmjwlvxzg8k0elhasagfmmgz0x8vp4ltcy8ples54e7js,83747
wss://1.noztr.com,83478
wss://relay.minibolt.info,83360
wss://slick.mjex.me,83025
wss://relay.hakua.xyz,82974
wss://tmp-relay.cesc.trade,82764
wss://relay.oldcity-bitcoiners.info,81907
wss://relay.nostr.nu,81817
wss://nostr.liberty.fans,81752
wss://nostr.coinos.io,81730
wss://relay.getalby.com/v1,81626
wss://nostr-dev.wellorder.net,81587
wss://nostr.nodeofsven.com,81471
wss://nostr01.counterclockwise.io,81389
wss://relay.kisiel.net.pl,81217
wss://hodlbod.coracle.tools,81212
wss://nostr.xmr.rocks,81050
wss://nproxy.kristapsk.lv,80593
wss://nostr-tbd.website,80386
