relay_url,count
wss://za.purplerelay.com,91468
wss://relay.nostromo.social,90898
wss://relay.nos.social,90759
wss://nostr.l00p.org,90550
wss://eu.purplerelay.com,90455
wss://relay.getalby.com/v1,90339
wss://nostr.stakey.net,90037
wss://relay.deezy.io,89962
wss://freerelay.xyz,89787
wss://relay.lawallet.ar,89142
wss://relay.nostrich.de,88470
wss://nostr.bch.ninja,88454
wss://cobrafuma.com/relay,88421
wss://relay.layer.systems,88398
wss://nostr-usa.ka1gbeoa21bnm.us-west-2.cs.amazonlightsail.com,88379
wss://relay.nostrid.com,88150
wss://nostr-03.dorafactory.org,87971
wss://nostr.sandwich.farm,87964
wss://de.purplerelay.com,87532
wss://nostrrelay.win,87452
wss://paid.nostr.lc,87146
wss://yestr.me,87118
wss://nostr.cizmar.net,86826
wss://nostr.shroomslab.net,86286
wss://relay.mostro.network,86147
wss://deschooling.us,84837
wss://uk.purplerelay.com,84586
wss://public.relaying.io,84540
wss://relay.westernbtc.com,84402
wss://nostrja-kari.heguro.com,84049
wss://relay.magiccity.live,83897
wss://nostr.hubmaker.io,83804
wss://1.noztr.com,83478
wss://relay.minibolt.info,83360
wss://slick.mjex.me,83025
wss://relay.hakua.xyz,82974
wss://tmp-relay.cesc.trade,82764
wss://relay.oldcity-bitcoiners.info,81907
wss://relay.nostr.nu,81817
wss://nostr.liberty.fans,81752
wss://nostr.coinos.io,81730
wss://nostr-dev.wellorder.net,81587
wss://nostr.nodeofsven.com,81471
wss://nostr01.counterclockwise.io,81395
wss://relay.kisiel.net.pl,81217
wss://hodlbod.coracle.tools,81212
wss://nostr.xmr.rocks,81050
wss://nproxy.kristapsk.lv,80593
wss://nostr-tbd.website,80386
wss://relay1.nostrchat.io,80330
wss://astral.ninja,79183
wss://vitor.nostr1.com,79162
wss://nostr-relay.texashedge.xyz,78953
wss://bucket.coracle.social,78669
wss://nostr.sethforprivacy.com,78309
wss://relay.poster.place,78267
wss://bitstack.app,78224
wss://hotrightnow.nostr1.com,78028
wss://cellar.nostr.wine,77973
wss://adre.su,77962
wss://relay.farscapian.com,77763
wss://nerostr.xmr.rocks,77611
wss://freelay.sovbit.host,77600
wss://nostr.ono.re,77517
wss://paid.spore.ws,77221
wss://ftp.halifax.rwth-aachen.de/nostr,77045
wss://nostr.sebastix.dev,76789
wss://relay.beta.fogtype.com,76413
wss://dev-relay.lnfi.network,76361
wss://njump.me,76022
wss://relay.nostr.directory,75963
wss://srtrelay.c-stellar.net,75902
wss://pleb.cloud,75868
wss://relay.lexingtonbitcoin.org,75845
wss://nostr.sectiontwo.org,75826
wss://relay.piazza.today,75816
wss://nostr.h3z.jp,75742
wss://nostr.hekster.org,75728
wss://relay.sovereign-stack.org,75686
wss://nostr.sovbit.host,75291
wss://powrelay.xyz,75140
wss://nostr.hifish.org,75090
wss://global-relay.cesc.trade,74974
wss://relay2.nostrchat.io,74786
wss://shawn.nostr1.com,74694
wss://bostr.freespeech.casa,74540
wss://br.purplerelay.com,74365
wss://relay.urbanzap.space,74328
wss://nostr.21sats.net,74101
